model,channels,params,inference_ms_per_window,checkpoint_path,seed,window_size,stride,split_mode,accuracy,macro_f1,transition_precision,transition_recall,transition_f1,loss,train_size,val_size,test_size,best_val_accuracy,best_val_macro_f1,best_val_transition_precision,best_val_transition_recall,best_val_transition_f1,best_val_loss
cnn,acc_gyro,76866,0.002342466868867632,/home/jdone/ai/mamba/mamba3/outputs_user/imu_transition/window_256_3seed/seed13/cnn_acc_gyro/best.pt,13,256,128,random,1.0,1.0,1.0,1.0,1.0,0.0018022483167494984,3219,690,690,1.0,1.0,1.0,1.0,1.0,0.023195238369584516
gru,acc_gyro,39042,0.004066932960995473,/home/jdone/ai/mamba/mamba3/outputs_user/imu_transition/window_256_3seed/seed13/gru_acc_gyro/best.pt,13,256,128,random,0.9898550724637681,0.8132178351831083,0.5,0.8571428571428571,0.631578947368421,0.17473080169031585,3219,690,690,0.9942028985507246,0.8318713450292398,0.8,0.5714285714285714,0.6666666666666666,0.7585763977921527
tcn,acc_gyro,221378,0.007356414862442762,/home/jdone/ai/mamba/mamba3/outputs_user/imu_transition/window_256_3seed/seed13/tcn_acc_gyro/best.pt,13,256,128,random,1.0,1.0,1.0,1.0,1.0,0.00027523643937825724,3219,690,690,1.0,1.0,1.0,1.0,1.0,0.03374033766179481
transformer,acc_gyro,84034,0.006741523429809604,/home/jdone/ai/mamba/mamba3/outputs_user/imu_transition/window_256_3seed/seed13/transformer_acc_gyro/best.pt,13,256,128,random,1.0,1.0,1.0,1.0,1.0,0.002072853267368307,3219,690,690,0.9971014492753624,0.9159356725146199,1.0,0.7142857142857143,0.8333333333333334,0.5189273585875829
mamba3,acc_gyro,239762,0.012488307183957659,/home/jdone/ai/mamba/mamba3/outputs_user/imu_transition/window_256_3seed/seed13/mamba3_acc_gyro/best.pt,13,256,128,random,1.0,1.0,1.0,1.0,1.0,0.0031550837356759155,3219,690,690,0.9971014492753624,0.9278393641497594,0.8571428571428571,0.8571428571428571,0.8571428571428571,0.4082247526668336
cnn,acc_gyro,76866,0.002500269365555141,/home/jdone/ai/mamba/mamba3/outputs_user/imu_transition/window_256_3seed/seed42/cnn_acc_gyro/best.pt,42,256,128,random,0.9971014492753624,0.9278393641497594,0.8571428571428571,0.8571428571428571,0.8571428571428571,0.049146245684528696,3219,690,690,1.0,1.0,1.0,1.0,1.0,0.011306933170535426
gru,acc_gyro,39042,0.004062826883455273,/home/jdone/ai/mamba/mamba3/outputs_user/imu_transition/window_256_3seed/seed42/gru_acc_gyro/best.pt,42,256,128,random,0.9855072463768116,0.7185511502692119,0.36363636363636365,0.5714285714285714,0.4444444444444444,0.3764971554495286,3219,690,690,0.9956521739130435,0.8989010989010989,0.75,0.8571428571428571,0.8,0.24152313101550807
tcn,acc_gyro,221378,0.0073272179724881425,/home/jdone/ai/mamba/mamba3/outputs_user/imu_transition/window_256_3seed/seed42/tcn_acc_gyro/best.pt,42,256,128,random,0.9985507246376811,0.9663003663003663,0.875,1.0,0.9333333333333333,0.013051277366669282,3219,690,690,1.0,1.0,1.0,1.0,1.0,0.00334229975182941
transformer,acc_gyro,84034,0.006754725945938844,/home/jdone/ai/mamba/mamba3/outputs_user/imu_transition/window_256_3seed/seed42/transformer_acc_gyro/best.pt,42,256,128,random,0.9942028985507246,0.8318713450292398,0.8,0.5714285714285714,0.6666666666666666,0.3683370974481754,3219,690,690,1.0,1.0,1.0,1.0,1.0,0.018262578792654086
mamba3,acc_gyro,239762,0.012616203748621047,/home/jdone/ai/mamba/mamba3/outputs_user/imu_transition/window_256_3seed/seed42/mamba3_acc_gyro/best.pt,42,256,128,random,0.9985507246376811,0.9611726970907659,1.0,0.8571428571428571,0.9230769230769231,0.41870022717107463,3219,690,690,1.0,1.0,1.0,1.0,1.0,0.0047808824306137965
cnn,acc_gyro,76866,0.002500073751434684,/home/jdone/ai/mamba/mamba3/outputs_user/imu_transition/window_256_3seed/seed73/cnn_acc_gyro/best.pt,73,256,128,random,0.9956521739130435,0.8835180912722975,0.8333333333333334,0.7142857142857143,0.7692307692307693,0.11549405083600162,3219,690,690,1.0,1.0,1.0,1.0,1.0,0.014200623238972131
gru,acc_gyro,39042,0.004064186723553576,/home/jdone/ai/mamba/mamba3/outputs_user/imu_transition/window_256_3seed/seed73/gru_acc_gyro/best.pt,73,256,128,random,0.9942028985507246,0.8318713450292398,0.8,0.5714285714285714,0.6666666666666666,0.6618994902873385,3219,690,690,0.9927536231884058,0.8058634854538294,0.6666666666666666,0.5714285714285714,0.6153846153846154,0.365191375086273
tcn,acc_gyro,221378,0.007365791534539312,/home/jdone/ai/mamba/mamba3/outputs_user/imu_transition/window_256_3seed/seed73/tcn_acc_gyro/best.pt,73,256,128,random,0.9956521739130435,0.8835180912722975,0.8333333333333334,0.7142857142857143,0.7692307692307693,0.11268360042620612,3219,690,690,1.0,1.0,1.0,1.0,1.0,0.0016978073212237138
transformer,acc_gyro,84034,0.006739238742738962,/home/jdone/ai/mamba/mamba3/outputs_user/imu_transition/window_256_3seed/seed73/transformer_acc_gyro/best.pt,73,256,128,random,0.9956521739130435,0.8625406733514842,1.0,0.5714285714285714,0.7272727272727273,0.5335361842470973,3219,690,690,1.0,1.0,1.0,1.0,1.0,0.020677198680536146
mamba3,acc_gyro,239762,0.012421147039276548,/home/jdone/ai/mamba/mamba3/outputs_user/imu_transition/window_256_3seed/seed73/mamba3_acc_gyro/best.pt,73,256,128,random,0.9942028985507246,0.8318713450292398,0.8,0.5714285714285714,0.6666666666666666,0.5467335099556848,3219,690,690,0.9985507246376811,0.9611726970907659,1.0,0.8571428571428571,0.9230769230769231,0.0324963014083577
