y_true,mean_abs_delta_phase,mean_gyro_magnitude
0,0.2279529720544815,2.5797808170318604
0,0.09621812403202057,0.04358524829149246
0,0.11354754865169525,0.08630029112100601
0,0.17065468430519104,0.4770466983318329
0,0.25741276144981384,1.6560686826705933
0,0.24218299984931946,1.388224482536316
0,0.25339433550834656,1.290816307067871
0,0.11307352781295776,0.0680340826511383
0,0.09373313188552856,0.06794524937868118
0,0.10072379559278488,0.08855659514665604
0,0.261863648891449,1.8323298692703247
0,0.17276053130626678,0.1917402744293213
0,0.09794708341360092,0.063958078622818
0,0.23143966495990753,2.4378178119659424
0,0.1448356658220291,0.12719598412513733
0,0.09427110850811005,0.04033074527978897
0,0.14099782705307007,0.07387296855449677
0,0.1817091405391693,0.19124369323253632
0,0.10151173174381256,0.07772134244441986
0,0.2534109950065613,2.3622329235076904
0,0.10772069543600082,0.06214161962270737
0,0.23617993295192719,2.3013274669647217
0,0.13774161040782928,0.08649452775716782
0,0.10656380653381348,0.06012899428606033
0,0.2441330850124359,2.5140857696533203
0,0.2421993911266327,1.7164437770843506
0,0.09576788544654846,0.06491979211568832
0,0.27123457193374634,1.8279908895492554
0,0.2594652771949768,1.7031219005584717
0,0.2216940075159073,1.487896203994751
0,0.10331974178552628,0.07737277448177338
0,0.2617805004119873,2.5768330097198486
0,0.08839529752731323,0.044253088533878326
0,0.24643976986408234,2.4691338539123535
0,0.2536369860172272,2.8307299613952637
0,0.2525302767753601,1.7760339975357056
0,0.27539896965026855,3.032221794128418
0,0.19092610478401184,0.30905163288116455
0,0.08703736215829849,0.04594727233052254
0,0.24977540969848633,2.4507670402526855
0,0.1103559359908104,0.0638187974691391
0,0.11689824610948563,0.08420616388320923
0,0.08737964928150177,0.038427989929914474
0,0.2388363629579544,1.8069722652435303
0,0.26491448283195496,3.2695889472961426
0,0.09482673555612564,0.04332711175084114
0,0.24905458092689514,1.484383463859558
0,0.2567262351512909,1.189703106880188
0,0.12728314101696014,0.11289545893669128
0,0.13302548229694366,0.06158795207738876
0,0.21208137273788452,2.3799972534179688
0,0.26221391558647156,2.606203556060791
0,0.2537434995174408,2.3808135986328125
0,0.27090153098106384,2.167750358581543
0,0.1547408550977707,0.12825563549995422
0,0.12600140273571014,0.06217867136001587
0,0.24547867476940155,2.3895039558410645
0,0.1788504272699356,0.21451742947101593
0,0.2053775042295456,2.1616804599761963
0,0.15127557516098022,0.1269167959690094
0,0.10615444928407669,0.07231026887893677
0,0.27358728647232056,2.1310882568359375
0,0.08600936084985733,0.053710371255874634
4,0.21998140215873718,2.297060966491699
0,0.09982286393642426,0.08930197358131409
0,0.2526760697364807,3.5779528617858887
0,0.2628163695335388,1.9372460842132568
4,0.22512036561965942,3.7504894733428955
0,0.15769432485103607,0.10973168909549713
0,0.12831354141235352,0.10570701211690903
0,0.1188797652721405,0.10125130414962769
0,0.24812409281730652,1.34944748878479
0,0.12644745409488678,0.09694288671016693
0,0.23605625331401825,2.6642203330993652
0,0.27486246824264526,2.5232558250427246
0,0.21711134910583496,1.9485702514648438
0,0.16764134168624878,0.17969681322574615
0,0.09593996405601501,0.07874363660812378
0,0.26197993755340576,2.2266218662261963
0,0.20470774173736572,0.5399764180183411
0,0.154546856880188,0.16851337254047394
0,0.09629859030246735,0.07413283735513687
0,0.10527747124433517,0.06535035371780396
0,0.10463348776102066,0.053281038999557495
0,0.26970988512039185,1.649889349937439
0,0.26991233229637146,2.0930402278900146
0,0.0896519348025322,0.04762198030948639
0,0.09567242860794067,0.06081225723028183
0,0.19316819310188293,0.32469016313552856
0,0.24894428253173828,2.716296672821045
0,0.22499772906303406,2.273294448852539
0,0.2690860331058502,1.7309588193893433
0,0.16479460895061493,0.1123773455619812
0,0.09709473699331284,0.04821692407131195
0,0.13689279556274414,0.07854403555393219
0,0.2767048478126526,1.9371085166931152
0,0.09491337835788727,0.044895343482494354
0,0.26820802688598633,1.734602451324463
0,0.14445383846759796,0.11320421099662781
0,0.2551111578941345,1.5590744018554688
0,0.2541263997554779,2.0069687366485596
0,0.26808279752731323,1.8345834016799927
0,0.091497041285038,0.04938524216413498
0,0.2623670697212219,2.2879443168640137
0,0.09370946884155273,0.05137490853667259
0,0.1428169459104538,0.06986072659492493
0,0.25125429034233093,1.1894288063049316
0,0.22224213182926178,2.3131325244903564
0,0.18710573017597198,0.20067667961120605
0,0.17210176587104797,0.19911551475524902
0,0.2027672529220581,0.23622697591781616
0,0.08876436948776245,0.04454426467418671
0,0.09753113985061646,0.06589892506599426
0,0.24860136210918427,2.842991828918457
0,0.13175000250339508,0.0769142210483551
0,0.23909997940063477,2.1405882835388184
0,0.12242603302001953,0.11352764815092087
0,0.09188563376665115,0.0519663468003273
0,0.20002271234989166,0.27231723070144653
0,0.08474312722682953,0.035341061651706696
4,0.19671431183815002,1.2388923168182373
0,0.13234072923660278,0.08046834170818329
0,0.2422948181629181,2.315666437149048
0,0.25843438506126404,1.4111404418945312
0,0.250244677066803,4.190029144287109
0,0.24797391891479492,2.4126880168914795
0,0.1545989215373993,0.18143367767333984
0,0.2709013521671295,3.141801357269287
0,0.13724857568740845,0.13203328847885132
0,0.13139009475708008,0.0771072581410408
0,0.22425319254398346,2.3158926963806152
6,0.22459831833839417,3.6307790279388428
0,0.1480853110551834,0.10992703586816788
0,0.11476121842861176,0.0711045116186142
0,0.08900143951177597,0.03647555410861969
0,0.10656499117612839,0.07626520097255707
0,0.11205044388771057,0.07522204518318176
0,0.25108614563941956,1.6748079061508179
0,0.2494617998600006,2.031031847000122
0,0.24692586064338684,2.5374879837036133
0,0.26446157693862915,1.3972883224487305
0,0.1139521524310112,0.06110161170363426
0,0.08506179600954056,0.05163600668311119
0,0.0864388644695282,0.045241303741931915
0,0.259209007024765,1.0194437503814697
0,0.2018749862909317,0.5682336091995239
0,0.16829904913902283,0.18310680985450745
0,0.1073393002152443,0.06298233568668365
0,0.14415761828422546,0.2146420180797577
0,0.25606679916381836,1.9761312007904053
0,0.08722895383834839,0.04872889071702957
0,0.11580286175012589,0.07038567960262299
0,0.2746981978416443,2.882636070251465
0,0.23415035009384155,1.8476622104644775
0,0.22956135869026184,2.3845996856689453
0,0.26105427742004395,2.9492335319519043
0,0.08996205031871796,0.037827268242836
0,0.10557396709918976,0.07496683299541473
