backbone,head,seed,gyro_high_dirF1,gyro_low_dirF1,rd_high_dirF1,rd_low_dirF1,gyro_high_rd_high_dirF1
mamba3,avgpool,42.666666666666664,0.7871115173807701,0.0,0.7862136498162359,0.0,0.7871115173807701
mamba3,gyrophase_rd,42.666666666666664,0.7715293001313982,0.0,0.770667622126863,0.0,0.7715293001313982
tcn,avgpool,42.666666666666664,0.7503419222623912,0.0,0.7503419222623912,0.0,0.7503419222623912
transformer,avgpool,42.666666666666664,0.7426081799394452,0.0,0.7419468042780694,0.0,0.7426081799394452
transformer,gyrophase_rd,42.666666666666664,0.716707169096782,0.0,0.7147831671727802,0.0,0.716707169096782
