model,channels,params,inference_ms_per_window,checkpoint_path,seed,window_size,stride,split_mode,accuracy,macro_f1,transition_precision,transition_recall,transition_f1,loss,train_size,val_size,test_size,best_val_accuracy,best_val_macro_f1,best_val_transition_precision,best_val_transition_recall,best_val_transition_f1,best_val_loss
cnn,acc_gyro,76866,0.0018269840438733809,/home/jdone/ai/mamba/mamba3/outputs_user/imu_transition/window_128_3seed/seed13/cnn_acc_gyro/best.pt,13,128,64,random,0.998780487804878,0.9933505785807539,0.975,1.0,0.9873417721518988,0.00756149830285278,7650,1639,1640,1.0,1.0,1.0,1.0,1.0,0.004328254743122915
gru,acc_gyro,39042,0.0024683260926394723,/home/jdone/ai/mamba/mamba3/outputs_user/imu_transition/window_128_3seed/seed13/gru_acc_gyro/best.pt,13,128,64,random,0.9945121951219512,0.9706069193223661,0.9156626506024096,0.9743589743589743,0.9440993788819876,0.02976109418995315,7650,1639,1640,0.9969493593654668,0.9832754078086192,0.95,0.987012987012987,0.9681528662420382,0.02280437882110031
tcn,acc_gyro,221378,0.005825819534948096,/home/jdone/ai/mamba/mamba3/outputs_user/imu_transition/window_128_3seed/seed13/tcn_acc_gyro/best.pt,13,128,64,random,0.9957317073170732,0.976865985946288,0.9382716049382716,0.9743589743589743,0.9559748427672956,0.025140613626984016,7650,1639,1640,0.9981696156192801,0.9898422732484273,0.9743589743589743,0.987012987012987,0.9806451612903225,0.015186689251407644
transformer,acc_gyro,84034,0.003917449394066352,/home/jdone/ai/mamba/mamba3/outputs_user/imu_transition/window_128_3seed/seed13/transformer_acc_gyro/best.pt,13,128,64,random,0.9981707317073171,0.9898425806451613,0.987012987012987,0.9743589743589743,0.9806451612903225,0.022131201661214597,7650,1639,1640,0.9981696156192801,0.9899652446851716,0.9625,1.0,0.9808917197452229,0.011406947830788532
mamba3,acc_gyro,239762,0.011325483901600819,/home/jdone/ai/mamba/mamba3/outputs_user/imu_transition/window_128_3seed/seed13/mamba3_acc_gyro/best.pt,13,128,64,random,0.9945121951219512,0.9706069193223661,0.9156626506024096,0.9743589743589743,0.9440993788819876,0.030114956777656406,7650,1639,1640,0.9969493593654668,0.9832754078086192,0.95,0.987012987012987,0.9681528662420382,0.05644357268305869
cnn,acc_gyro,76866,0.0019600556333898567,/home/jdone/ai/mamba/mamba3/outputs_user/imu_transition/window_128_3seed/seed42/cnn_acc_gyro/best.pt,42,128,64,random,0.9957317073170732,0.976865985946288,0.9382716049382716,0.9743589743589743,0.9559748427672956,0.0461959011023637,7650,1639,1640,0.9975594874923734,0.98637278214743,0.974025974025974,0.974025974025974,0.974025974025974,0.05063961362642366
gru,acc_gyro,39042,0.0024681634386070073,/home/jdone/ai/mamba/mamba3/outputs_user/imu_transition/window_128_3seed/seed42/gru_acc_gyro/best.pt,42,128,64,random,0.9951219512195122,0.9734023143230159,0.9375,0.9615384615384616,0.9493670886075949,0.0926141368450949,7650,1639,1640,0.99633923123856,0.9790409207161126,0.9863013698630136,0.935064935064935,0.96,0.270242413013828
tcn,acc_gyro,221378,0.005818788740725722,/home/jdone/ai/mamba/mamba3/outputs_user/imu_transition/window_128_3seed/seed42/tcn_acc_gyro/best.pt,42,128,64,random,0.9963414634146341,0.980051735742262,0.95,0.9743589743589743,0.9620253164556962,0.04055324796609944,7650,1639,1640,0.9969493593654668,0.9830704554140457,0.9615384615384616,0.974025974025974,0.967741935483871,0.03116651159859489
transformer,acc_gyro,84034,0.0039066063982318155,/home/jdone/ai/mamba/mamba3/outputs_user/imu_transition/window_128_3seed/seed42/transformer_acc_gyro/best.pt,42,128,64,random,0.9969512195121951,0.9830709677419355,0.974025974025974,0.9615384615384616,0.967741935483871,0.09295646628654539,7650,1639,1640,0.9951189749847468,0.9720545609548167,0.9726027397260274,0.922077922077922,0.9466666666666667,0.1317522628999942
mamba3,acc_gyro,239762,0.01126702733017737,/home/jdone/ai/mamba/mamba3/outputs_user/imu_transition/window_128_3seed/seed42/mamba3_acc_gyro/best.pt,42,128,64,random,0.9969512195121951,0.9828606423914839,0.9866666666666667,0.9487179487179487,0.9673202614379085,0.09343863945701386,7650,1639,1640,0.9957291031116534,0.976004183006536,0.9605263157894737,0.948051948051948,0.954248366013072,0.10377424720065614
cnn,acc_gyro,76866,0.001961158741323743,/home/jdone/ai/mamba/mamba3/outputs_user/imu_transition/window_128_3seed/seed73/cnn_acc_gyro/best.pt,73,128,64,random,0.999390243902439,0.9966141935483871,1.0,0.9871794871794872,0.9935483870967742,0.04151460369367425,7650,1639,1640,0.9993898718730934,0.9966140910828092,0.9871794871794872,1.0,0.9935483870967742,0.009829586091075749
gru,acc_gyro,39042,0.002468596867402084,/home/jdone/ai/mamba/mamba3/outputs_user/imu_transition/window_128_3seed/seed73/gru_acc_gyro/best.pt,73,128,64,random,0.9975609756097561,0.986373191747472,0.9868421052631579,0.9615384615384616,0.974025974025974,0.09919529992167088,7650,1639,1640,0.9981696156192801,0.9898422732484273,0.9743589743589743,0.987012987012987,0.9806451612903225,0.057610966218464975
tcn,acc_gyro,221378,0.005826293599966448,/home/jdone/ai/mamba/mamba3/outputs_user/imu_transition/window_128_3seed/seed73/tcn_acc_gyro/best.pt,73,128,64,random,0.9981707317073171,0.9899655524758775,0.9746835443037974,0.9871794871794872,0.9808917197452229,0.05057980015692187,7650,1639,1640,0.9993898718730934,0.9966140910828092,0.9871794871794872,1.0,0.9935483870967742,0.010956859990017963
