spec,seed,n_windows,pearson_dphi_gyro,pearson_sel_gyro,pearson_sel_dphi,dphi_trans_mean,dphi_nontrans_mean,dphi_ratio,sel_trans_mean,sel_nontrans_mean,sel_ratio
complex_selective.avgpool.mean,42.666666666666664,1640.0,0.8270199763194692,-0.4385251475064274,-0.34975730151260453,0.43419635576060694,0.3587717578773805,1.240043811136083,0.9303700776181669,0.9385075805485377,0.991318105136556
complex_selective.gyrophase.mean,42.666666666666664,1640.0,0.8477666646898188,-0.2960075971157991,-0.2583310798478928,0.48554075127228713,0.38919352637099064,1.2612745443323965,0.9290482093635788,0.9330985313468237,0.9956356521544127
complex_selective.gyrophase_rd.mean,42.666666666666664,1640.0,0.825445422753155,-0.30826967550238454,-0.2396466986935343,0.5437195107468172,0.4316858833960193,1.2604660254290083,0.9285301367441813,0.9321763202185515,0.9961127014066579
complex_selective.phase.mean,42.666666666666664,1640.0,0.7452011643896097,-0.6166242373530124,-0.47591276382056735,0.4976671543131526,0.4368573673152156,1.1490063536914363,0.9323682609276894,0.944773790981848,0.9868769695711898
complex_selective.selective_gyrophase.mean,42.666666666666664,1640.0,0.796828953335235,-0.12028726840129499,-0.031117798414594017,0.6473847772830572,0.5319126522406217,1.2228942925890889,0.9222428207723503,0.9272824299421973,0.9946685795842926
complex_static.avgpool.mean,42.666666666666664,1640.0,0.8368543817853139,,,0.045476216416901506,0.03662636945150535,1.2402050820483723,0.9538784821828207,0.9538784821828207,1.0
