spec,seed,n_windows,r_selective_score_gyro,r_selective_score_dphi,mean_selective_score_trans,mean_selective_score_non,ratio_selective_score,r_forget_rate_gyro,r_forget_rate_dphi,mean_forget_rate_trans,mean_forget_rate_non,ratio_forget_rate,r_update_budget_gyro,r_update_budget_dphi,mean_update_budget_trans,mean_update_budget_non,ratio_update_budget,r_phase_velocity_gyro,r_phase_velocity_dphi,mean_phase_velocity_trans,mean_phase_velocity_non,ratio_phase_velocity
complex_selective.avgpool.mean,42.666666666666664,1640.0,-0.4385251475064274,-0.34975730151260453,0.9303700776181669,0.9385075805485377,0.991318105136556,0.43852507940564456,0.3497572774779216,0.06962992327335553,0.06149241927418122,1.133064462726871,0.29666563505363297,0.22863093989806726,0.08003851236441197,0.0697645434248768,1.1471822391590571,-0.6431490297318343,-0.5715048091008077,0.4005614349729994,0.4149915159664446,0.9727725698226988
complex_selective.gyrophase.mean,42.666666666666664,1640.0,-0.2960075971157991,-0.2583310798478928,0.9290482093635788,0.9330985313468237,0.9956356521544127,0.296007669594796,0.25833123424852134,0.07095179060458118,0.06690146887895138,1.0561888386594316,0.1171623767820376,0.10201028369131686,0.08334749075783114,0.07865832969578117,1.0446863818963443,-0.6986683131155176,-0.630928016471879,0.42683200092397183,0.44892758704368957,0.9481190527667683
complex_selective.gyrophase_rd.mean,42.666666666666664,1640.0,-0.30826967550238454,-0.2396466986935343,0.9285301367441813,0.9321763202185515,0.9961127014066579,0.30826958272679383,0.2396466713833112,0.07146986398814072,0.06782367943960584,1.058314441624649,0.005868100001033741,-0.04426479327396444,0.08668472713384873,0.0849537638787576,1.0222206721081697,-0.6013212787181289,-0.5182312749241336,0.4804059414782076,0.5007827761231249,0.9596672413245365
complex_selective.phase.mean,42.666666666666664,1640.0,-0.6166242373530124,-0.47591276382056735,0.9323682609276894,0.944773790981848,0.9868769695711898,0.6166241784161546,0.4759126810738287,0.06763173966135225,0.0552262082931276,1.2270113784096561,0.3915706468394524,0.3205225190036539,0.0808197362587238,0.0649700365257833,1.2418796631885147,-0.7381860353607822,-0.5882823728527532,0.45303249193562395,0.5037268944851008,0.900451454168261
complex_selective.selective_gyrophase.mean,42.666666666666664,1640.0,-0.12028726840129499,-0.031117798414594017,0.9222428207723503,0.9272824299421973,0.9946685795842926,0.12028724974629523,0.031117765178115153,0.07775717761972521,0.07271757005382769,1.0898498552680798,-0.027041097138106707,-0.13950796255898448,0.10334223473810743,0.09861288969041292,1.0773153658424703,-0.6578029883053017,-0.42276280630297974,0.5571924855566432,0.5866840027663832,0.9500852994105912
complex_static.avgpool.mean,42.666666666666664,1640.0,,,0.9538784821828207,0.9538784821828207,1.0,,,0.04612151036659876,0.04612151036659876,1.0,0.014300159568243495,0.13126024170319026,0.0705022243066476,0.07712059145824324,0.9134964945606802,,,0.05056703339020411,0.05056703339020411,1.0
