backbone,head,seed,gyro_high_dirF1,gyro_low_dirF1,rd_high_dirF1,rd_low_dirF1,gyro_high_rd_high_dirF1
complex_selective,avgpool,42.666666666666664,0.6375287857947406,0.0,0.6375287857947406,0.0,0.6375287857947406
complex_selective,gyrophase,42.666666666666664,0.6271109314230611,0.0,0.6285389264017808,0.0,0.629861677724532
complex_selective,gyrophase_rd,42.666666666666664,0.6677193331554783,0.0,0.6714290106444009,0.0,0.6714290106444009
complex_selective,phase,42.666666666666664,0.6513894868755766,0.0,0.653106368685837,0.0,0.653106368685837
complex_selective,selective_gyrophase,42.666666666666664,0.6226430841970596,0.0,0.6252515868055623,0.0,0.6252515868055623
complex_static,avgpool,42.666666666666664,0.582680123033075,0.0,0.5855304168524675,0.0,0.5855304168524675
mamba3,avgpool,42.666666666666664,0.7623758753639743,0.0,0.7619991455927955,0.0,0.7637442388013033
mamba3,gyrophase_rd,42.666666666666664,0.7655532028628692,0.0,0.7667517757974536,0.0,0.7687583310679974
real_selective,avgpool,42.666666666666664,0.761028849521323,0.0,0.7600892206747174,0.0,0.7619967163428484
real_selective,gyrophase_rd,42.666666666666664,0.7019050937116154,0.0,0.7018247202759788,0.0,0.7038267222779808
real_static,avgpool,42.666666666666664,0.6892738723062865,0.0,0.6892738723062865,0.0,0.690173557416498
tcn,avgpool,42.666666666666664,0.7519302665344996,0.0,0.7522866674928158,0.0,0.7528531162945585
transformer,avgpool,42.666666666666664,0.7000665821850179,0.0,0.6997814833633337,0.0,0.70218298430142
transformer,gyrophase_rd,42.666666666666664,0.7207354300384257,0.0,0.7200650764268955,0.0,0.7207354300384257
