backbone,head,pool,channels,seed,split_mode,task,params,inference_ms_per_window,train_elapsed_sec,epochs_trained,accuracy,macro_f1,weighted_f1,non_transition_f1,direction_macro_f1,worst_direction_f1,transition_precision,transition_recall,transition_f1,loss
complex_selective,selective_gyrophase_v2,mean,acc_gyro,13,random,direction,51254,0.15513105419813655,317.65945982933044,50,0.9774390243902439,0.7504337048557173,0.9789668024576333,0.994535519125683,0.7097500691440564,0.5614035087719298,0.8351648351648352,0.9743589743589743,0.8994082840236687,0.4512218960901586
complex_selective,selective_gyrophase_v3,mean,acc_gyro,13,random,direction,51254,0.15468195517314598,212.112886428833,34,0.9640243902439024,0.6597610554864441,0.9687322950959529,0.9870466321243523,0.605213459380126,0.5185185185185185,0.6666666666666666,0.9743589743589743,0.7916666666666666,0.5448672221928108
complex_selective,selective_gyrophase_v2,mean,acc_gyro,42,random,direction,51254,0.15410984815389384,157.34791827201843,25,0.9689024390243902,0.7010186947379932,0.9720825159215128,0.9899903132063287,0.6528567583266041,0.5217391304347826,0.7238095238095238,0.9743589743589743,0.8306010928961749,0.5241589572734949
complex_selective,selective_gyrophase_v3,mean,acc_gyro,42,random,direction,51254,0.155253444063419,200.70100784301758,32,0.9560975609756097,0.6029118392224925,0.963616491228492,0.9837662337662337,0.5394361067985357,0.35294117647058826,0.6147540983606558,0.9615384615384616,0.75,0.639830842005407
complex_selective,selective_gyrophase_v2,mean,acc_gyro,73,random,direction,51254,0.155982527321612,126.1788330078125,20,0.9652439024390244,0.6101109949314454,0.9683920767667187,0.9890322580645161,0.5469574510759335,0.4,0.7156862745098039,0.9358974358974359,0.8111111111111111,0.7056321014718312
complex_selective,selective_gyrophase_v3,mean,acc_gyro,73,random,direction,51254,0.15406081671244465,225.99598121643066,36,0.9164634146341464,0.5911445383374314,0.9397836960643118,0.962595167163191,0.5292361001998048,0.18439716312056736,0.40331491712707185,0.9358974358974359,0.5637065637065637,0.679626161877702
