checkpoint,channel_mode,task,n_test,delta_phase_mean_transition,delta_phase_std_transition,delta_phase_median_transition,delta_phase_mean_non_transition,delta_phase_std_non_transition,delta_phase_median_non_transition,delta_phase_ratio,phase_gyro_pearson_r,phase_gyro_pearson_r_class_0,phase_gyro_pearson_r_class_1,phase_gyro_pearson_r_class_2,phase_gyro_pearson_r_class_3,phase_gyro_pearson_r_class_4,phase_gyro_pearson_r_class_5,phase_gyro_pearson_r_class_6,run_id
outputs_user/imu_transition/ssm_ablation_5seed/seed13/complex_ssm_acc_gyro/best.pt,acc_gyro,direction,1640,0.2762352927373006,0.02459149341645651,0.2754998952150345,0.2110982370418562,0.09936878312441559,0.20931247621774673,1.308562764939288,0.8809353178019943,0.8975023833185894,0.43420738773077794,0.3578318314580809,0.23725924403853876,0.15075136306393988,0.29304714955706607,0.6836902273830238,ssm_ablation_5seed__seed13__complex_ssm_acc_gyro
outputs_user/imu_transition/ssm_ablation_5seed/seed13/complex_ssm_gyro/best.pt,gyro,direction,1640,0.5299016676652126,0.025230382988416754,0.5313982665538788,0.4243466093678328,0.15030131641878858,0.45951180160045624,1.2487472645407245,0.8405715054476934,0.8513820829846572,0.5779474774291673,0.4424413307643603,0.1283647707363707,0.5460357235139264,-0.009948412415473363,0.5798079886494553,ssm_ablation_5seed__seed13__complex_ssm_gyro
outputs_user/imu_transition/ssm_ablation_5seed/seed137/complex_ssm_acc_gyro/best.pt,acc_gyro,direction,1640,0.6765246689319611,0.04860422797627208,0.6774591207504272,0.5193058294691288,0.23879076386904086,0.5499028265476227,1.3027480735649597,0.8666677385064646,0.875452582796383,0.3845942258147637,0.019243197979637715,0.1757011624008926,0.5159895495235249,0.1637243404354098,0.43420354790943055,ssm_ablation_5seed__seed137__complex_ssm_acc_gyro
outputs_user/imu_transition/ssm_ablation_5seed/seed137/complex_ssm_gyro/best.pt,gyro,direction,1640,0.6719692372358762,0.02653935181912586,0.674414336681366,0.5745120573020928,0.14100636002126107,0.6216336190700531,1.1696346990373747,0.8166722653524171,0.8219162111517926,0.35246373554531557,-0.1471508696623219,-0.05808016520005746,0.5938815879262412,-0.16674865656069862,0.29304598743343274,ssm_ablation_5seed__seed137__complex_ssm_gyro
outputs_user/imu_transition/ssm_ablation_5seed/seed211/complex_ssm_acc_gyro/best.pt,acc_gyro,direction,1640,0.19622170753203905,0.01475011867369347,0.19693653285503387,0.16303772026155425,0.07355761582244288,0.16345493495464325,1.2035356432686202,0.8588822304762418,0.8816891496024615,0.6195383865384964,0.05797262787004143,-0.2053450533433823,0.6424122944872275,-0.15396744268527393,0.2176382659965244,ssm_ablation_5seed__seed211__complex_ssm_acc_gyro
outputs_user/imu_transition/ssm_ablation_5seed/seed211/complex_ssm_gyro/best.pt,gyro,direction,1640,0.21167075442962158,0.02046087341962728,0.21399015188217163,0.17942807766180796,0.07421299920240622,0.19370031356811523,1.179696941459662,0.8356860683434741,0.8615599999492889,0.2992287327978654,0.16095056281287715,-0.05953083636535669,0.22955803507082348,-0.7167050025696998,-0.5799455408016007,ssm_ablation_5seed__seed211__complex_ssm_gyro
outputs_user/imu_transition/ssm_ablation_5seed/seed42/complex_ssm_acc_gyro/best.pt,acc_gyro,direction,1640,0.3264728125471335,0.02229492005211346,0.33006449043750763,0.2478101266054353,0.10371636802482498,0.2657298594713211,1.3174312810345534,0.855064627668702,0.8635656226324392,-0.6666370995413239,-0.37138401138359906,-0.10040790137506271,0.7114914797998957,-0.41249784504790926,0.6626193635472478,ssm_ablation_5seed__seed42__complex_ssm_acc_gyro
outputs_user/imu_transition/ssm_ablation_5seed/seed42/complex_ssm_gyro/best.pt,gyro,direction,1640,0.48628502472853047,0.025558612580270413,0.4864039570093155,0.4043785179184127,0.11872829542685227,0.44624294340610504,1.2025491048133352,0.8177319464409991,0.8276112980144623,-0.4926947509826572,0.026363253537528858,-0.406166594222097,0.24043775692588376,-0.5322142204596175,0.3720759123982266,ssm_ablation_5seed__seed42__complex_ssm_gyro
outputs_user/imu_transition/ssm_ablation_5seed/seed73/complex_ssm_acc_gyro/best.pt,acc_gyro,direction,1640,0.19364593025201407,0.017418386572268896,0.19024867564439774,0.16298005334966162,0.0776454218186936,0.16767503321170807,1.1881572393191029,0.8526759712480808,0.8775953125745095,-0.7694255325888754,0.34284612751892785,0.08363119115885034,0.6133156337715112,-0.30926302468832856,0.03272968915541305,ssm_ablation_5seed__seed73__complex_ssm_acc_gyro
outputs_user/imu_transition/ssm_ablation_5seed/seed73/complex_ssm_gyro/best.pt,gyro,direction,1640,0.21637287315649864,0.014536906136273562,0.21839313954114914,0.18328985966808817,0.07069703866984109,0.1977853700518608,1.1804956016023969,0.8442147942462177,0.8640168104012897,-0.4732075662920186,0.46397791202458544,0.39417782186184,0.33531963999552733,-0.6445859833883599,0.2766337165836439,ssm_ablation_5seed__seed73__complex_ssm_gyro
