model,channels,params,inference_ms_per_window,checkpoint_path,seed,window_size,stride,split_mode,accuracy,macro_f1,transition_precision,transition_recall,transition_f1,loss,train_size,val_size,test_size,best_val_accuracy,best_val_macro_f1,best_val_transition_precision,best_val_transition_recall,best_val_transition_f1,best_val_loss
tcn,acc,220610,0.005743999827245716,/home/jdone/ai/mamba/mamba3/outputs_user/imu_transition/subject_5seed/seed137/tcn_acc/best.pt,137,128,64,subject,0.9955282280603689,0.978409104623517,0.9690721649484536,0.9494949494949495,0.9591836734693877,0.07623603168298174,7764,1376,1789,0.998546511627907,0.9908489951185773,0.9655172413793104,1.0,0.9824561403508771,0.009385145519551115
tcn,gyro,220610,0.005748110779677518,/home/jdone/ai/mamba/mamba3/outputs_user/imu_transition/subject_5seed/seed137/tcn_gyro/best.pt,137,128,64,subject,0.9647847959754052,0.8619776263340619,0.6232876712328768,0.9191919191919192,0.7428571428571429,0.15127112275086313,7764,1376,1789,0.9956395348837209,0.9720779220779221,0.9464285714285714,0.9464285714285714,0.9464285714285714,0.07838311530433076
tcn,acc_gyro,221378,0.005824223298986908,/home/jdone/ai/mamba/mamba3/outputs_user/imu_transition/subject_5seed/seed137/tcn_acc_gyro/best.pt,137,128,64,subject,0.9932923420905534,0.9682238010657194,0.9306930693069307,0.9494949494949495,0.94,0.046438825715558636,7764,1376,1789,0.9781976744186046,0.888619070746317,0.6511627906976745,1.0,0.7887323943661971,0.04928777937345521
transformer,acc,83842,0.003741770015039947,/home/jdone/ai/mamba/mamba3/outputs_user/imu_transition/subject_5seed/seed137/transformer_acc/best.pt,137,128,64,subject,0.9938513135830073,0.9698777753116845,0.9680851063829787,0.9191919191919192,0.9430051813471503,0.11824969615401516,7764,1376,1789,0.997093023255814,0.980725051829439,1.0,0.9285714285714286,0.9629629629629629,0.13018373913283265
transformer,gyro,83842,0.0037376576437964104,/home/jdone/ai/mamba/mamba3/outputs_user/imu_transition/subject_5seed/seed137/transformer_gyro/best.pt,137,128,64,subject,0.9821129122414757,0.91977488536867,0.7964601769911505,0.9090909090909091,0.8490566037735849,0.21487309114956502,7764,1376,1789,0.9934593023255814,0.9591630805757531,0.8983050847457628,0.9464285714285714,0.9217391304347826,0.09444217921943988
transformer,acc_gyro,84034,0.003907564205292147,/home/jdone/ai/mamba/mamba3/outputs_user/imu_transition/subject_5seed/seed137/transformer_acc_gyro/best.pt,137,128,64,subject,0.980435997764114,0.9170030155416377,0.753968253968254,0.9595959595959596,0.8444444444444444,0.09370939519627008,7764,1376,1789,0.9956395348837209,0.9729998430223432,0.9166666666666666,0.9821428571428571,0.9482758620689655,0.06511185029088411
mamba3,acc,239378,0.011049688764614984,/home/jdone/ai/mamba/mamba3/outputs_user/imu_transition/subject_5seed/seed137/mamba3_acc/best.pt,137,128,64,subject,0.9888205701509223,0.9470396684428657,0.8910891089108911,0.9090909090909091,0.9,0.10019561891507017,7764,1376,1789,0.9920058139534884,0.9492433108545406,0.8947368421052632,0.9107142857142857,0.9026548672566371,0.17644388026586288
mamba3,gyro,239378,0.011042449696105905,/home/jdone/ai/mamba/mamba3/outputs_user/imu_transition/subject_5seed/seed137/mamba3_gyro/best.pt,137,128,64,subject,0.9843487982112912,0.9291765637371339,0.8198198198198198,0.9191919191919192,0.8666666666666667,0.15602341288510166,7764,1376,1789,0.9963662790697675,0.9776837120290631,0.9180327868852459,1.0,0.9572649572649573,0.02106799522068265
mamba3,acc_gyro,239762,0.01154472858615918,/home/jdone/ai/mamba/mamba3/outputs_user/imu_transition/subject_5seed/seed137/mamba3_acc_gyro/best.pt,137,128,64,subject,0.9877026271660145,0.9388585099111415,0.9230769230769231,0.8484848484848485,0.8842105263157894,0.1978277749834346,7764,1376,1789,0.9883720930232558,0.9302938196555218,0.8125,0.9285714285714286,0.8666666666666667,0.09709082196769846
cnn,acc,75906,0.0019601212261477485,/home/jdone/ai/mamba/mamba3/outputs_user/imu_transition/subject_5seed/seed211/cnn_acc/best.pt,211,128,64,subject,0.9828767123287672,0.9197052191607545,0.7433628318584071,0.9882352941176471,0.8484848484848485,0.05442313366988461,7782,1395,1752,0.9935483870967742,0.9649717514124294,0.9,0.9692307692307692,0.9333333333333333,0.04042109764618365
